symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
SP500.,short,2025-11-06 17:30:00+01:00,6795.29,2025-11-06 17:30:00+01:00,6803.91067675486,SL,3.4,-862.1,-29.31,1127.14
DJ30.,short,2025-11-07 19:00:00+01:00,46731.72,2025-11-07 20:00:00+01:00,46563.16107793957,SL,0.3,16855.9,50.57,1177.71
DJ30.,long,2025-11-10 17:45:00+01:00,47298.45,2025-11-10 17:45:00+01:00,47249.116344997616,SL,0.6,-4933.4,-29.6,1148.11
NAS100.,long,2025-11-10 18:15:00+01:00,25558.9,2025-11-10 18:45:00+01:00,25514.747521664347,SL,0.7,-4415.2,-30.91,1117.2
SP500.,long,2025-11-10 18:00:00+01:00,6814.95,2025-11-10 18:45:00+01:00,6806.446150141158,SL,3.4,-850.4,-28.91,1088.29
SP500.,short,2025-11-10 19:30:00+01:00,6784.5,2025-11-10 19:45:00+01:00,6795.852555825924,SL,2.4,-1135.3,-27.25,1061.04
DJ30.,short,2025-11-10 18:45:00+01:00,47108.45,2025-11-10 20:30:00+01:00,47176.6917097179,SL,0.4,-6824.2,-27.3,1033.74
DJ30.,long,2025-11-11 17:45:00+01:00,47497.34,2025-11-11 18:00:00+01:00,47458.6937519362,SL,0.7,-3864.6,-27.05,1006.69
SP500.,long,2025-11-11 18:00:00+01:00,6838.02,2025-11-11 18:00:00+01:00,6830.73928391802,SL,3.5,-728.1,-25.48,981.21
NAS100.,short,2025-11-11 18:15:00+01:00,25507.78,2025-11-11 19:30:00+01:00,25433.68818107862,SL,0.5,7409.2,37.05,1018.26
SP500.,short,2025-11-12 17:45:00+01:00,6871.37,2025-11-12 18:15:00+01:00,6861.027816201146,SL,4.0,1034.2,41.37,1059.63
NAS100.,short,2025-11-13 17:30:00+01:00,25421.18,2025-11-13 17:30:00+01:00,25252.200605657246,SL,0.5,16897.9,84.49,1144.12
NAS100.,short,2025-11-13 18:45:00+01:00,25238.18,2025-11-13 20:45:00+01:00,25101.436147448912,SL,0.4,13674.4,54.7,1198.82
SP500.,long,2025-11-14 18:45:00+01:00,6735.17,2025-11-14 19:15:00+01:00,6766.203180905187,SL,1.6,3103.3,49.65,1248.47
NAS100.,long,2025-11-14 18:45:00+01:00,25036.33,2025-11-14 20:00:00+01:00,25196.323977926648,SL,0.3,15999.4,48.0,1296.47
SP500.,short,2025-11-17 19:15:00+01:00,6712.0,2025-11-17 19:15:00+01:00,6730.253971071788,SL,1.8,-1825.4,-32.86,1263.61
NAS100.,short,2025-11-18 17:45:00+01:00,24606.68,2025-11-18 18:00:00+01:00,24413.931868520394,SL,0.4,19274.8,77.1,1340.71
DJ30.,short,2025-11-19 17:15:00+01:00,46141.83,2025-11-19 17:45:00+01:00,46196.09222794782,SL,0.6,-5426.2,-32.56,1308.15
DJ30.,long,2025-11-19 18:15:00+01:00,46298.33,2025-11-19 18:15:00+01:00,46225.428019251936,SL,0.4,-7290.2,-29.16,1278.99
DJ30.,short,2025-11-19 19:00:00+01:00,46041.33,2025-11-19 20:00:00+01:00,46133.44394012518,SL,0.3,-9211.4,-27.63,1251.36
